Name,Start Time,End Time,Description,Price
b'2018 KIDFITSTRONG Fitness Challenge - Detroit',2018-09-23T10:00:00,2018-09-23T18:00:00,"The KIDFITSTRONG Fitness Challenge is the nations largest mobile fitness event traveling from coast-to-coast dedicated to keeping kids active and healthy.  At the KIDFITSTRONG Fitness Challenge, kids of all ages get the opportunity to flex their physical fitness by participating in a completion-based obstacle course designed to challenge speed, strength, agility and overall physical fitness.  The event is FREE to the public and features a variety of activities for the whole family to enjoy including active gaming fun for all ages and on-site programming designed to inspire kids and families to live a more active and healthy lifestyle!

https://m.youtube.com/watch?v=nnBucGXEpfM

FAQ's
What is the KIDFITSTRONG Fitness Challenge?
The KIDFITSTRONG Fitness Challenge is the nations largest mobile fitness event traveling from coast-to-coast dedicated to keeping kids active and healthy.  
How do kids participate?
Kids of all ages get the opportunity to demonstrate their physical fitness by participating in a completion-based obstacle course designed to test speed, strength, agility, and overall physical fitness.
How is the course laid out?
The KIDFITSTRONG Fitness Challenge is a 10 station completion-based obstacle course that includes sprinting, push ups, wall crawls, hurdles, jumping jacks, sit ups, tunnel crawls and to finish off the course - a grueling 20 foot confidence climb and 60 meter dash to the finish!
What is the minimum age requirement to compete?
The minimum age requirement for our toddler course is 3 years of age. The course difficulty is adjusted to compliment each age group to include the adults.
Is the KIDFITSTRONG Fitness Challenge a kids event only?
Not at all, adults can participate on all activities at the event to test their physical fitness.
How long will I have to run?
Each course no matter if adult or toddler takes approximately 5 - 10 minutes to complete depending on your physical fitness.
What if I can't make it that far?
No worries. You can terminate your race at anytime but we encourage all participants to attempt to finish. We have lots of great volunteers to help you on the way!
Is there a cost to run the course?
The KIDFITSTRONG Fitness Challenge course is free of charge for all ages. Runners are handled on a first come first serve basis.
Is there a charge to participate on the Xtreme rides at the event?
Yes, there is a charge associated with participating on the BumperBalls and BodyZorbs at the event. The KIDFITSTRONG Fitness Challenge Obstacle Course and Awareness areas are FREE of charge for unlimited participation all day.
What other activities are there to do at the event?
The event features lots of activities for the whole family to enjoy to include Xtreme gaming for all ages, rides, food and on-site programming designed to inspire kids and families to live an active and healthy lifestyle.
What is the weather policy for the event?
The KIDFITSTRONG Fitness Challenge is a LOW WIND SHINE ONLY event due to extremely high inflatables. Please make sure to check the website on event day for weather updates and event status.
Do I have to register to participate?
Yes, ALL participants both children and adults must register for FREE at Eventbrite to accept the medical waiver in order to participate at the event.
Do participants have to arrive at 10am and stay all day?
No, participants can arrive anytime during our 10am - 6pm event hours. New races are run continually throughout the day with new runners being handled on a first come first served basis.
How can I become a Volunteer at the event?
We can always use your help volunteering at our KIDFITSTRONG Fitness Challenge event.  Please contact us at volunteers@kidfitstrong.com where one of our team members can get you all setup. 
How can I become a Sponsor or a Vendor at one of your upcoming events?
Please contact us at sponsors@kidfitstrong.com where one of our friendly specialists will be glad to answer any of your questions and forward you sponsor information.
How can I bring the KIDFITSTRONG Fitness Challenge special event to my school?
We offer a limited number of special events per school year. To request a special event at your school, please contact us at community@kidfitstrong.com where one of our friendly specialists will be glad to forward you special event information.
What if I have any further questions?
Feel free to contact us at info@kidfitstrong.com where one of our friendly specialists will be glad to answer your questions.",Paid
b'Ambassadors of Song - International Male Chorus Symposium',2017-11-10T19:00:00,2017-11-11T23:00:00,"The University of Michigan Men’s Glee Club invites singers and audiences from around the world to join us in song and celebration of the University of Michigan’s Bicentennial Anniversary at the Ambassadors of Song International Male Chorus Symposium. Register as an attendee, a group, a member of the Michigan High School Bicentennial Chorus, or an alumnus in our Ambassadors of Song Alumni Chorus. For more information, visit bicentennial.ummgc.org/ambassadors-of-song/
Additionally, please note that the ""Optional Add-On: Alumni Sunday Brunch"" that will take place on Sunday, November 12th is open to all alumni and spouses/partners. UMMGC alumni from two international tour groups will also be celebrating special anniversaries during the weekend. These include the 1967 World Tour Group, its 50th, and the 1992 Eastern European Tour Group, its 25th. As members of these groups (whether or not you participated in either tour), you can register to attend a reunion lunch held in the League that Friday, one for the 1967 group, another for the 1992 group. This is an optional cost.",Paid
b'Richard & Hinda Rosenthal Symposium: Pain & the Opioid Epidemic: A Path Forward',2017-11-27T15:00:00,2017-11-27T17:30:00,"

Co-hosted by the National Academy of Medicine and the University of Michigan, Ann Arbor. 
Ford Auditorium | University of Michigan, Ann Arbor3:00-5:30 PMLive webcast available
This year’s symposium will focus on how challenges associated with managing acute and chronic pain have led to an explosion in the abuse of prescription pain medications and a nationwide epidemic. Panelists will consider how to inform health care policies that impact the opioid epidemic by asking:  


How can we use the wealth of epidemiological, clinical, and basic science information about the biology of pain and addiction to stem the opioid epidemic?


What can be done now?


What should be done in the longer term?



Pioneering pain researcher, Dr. Allan Basbaum, Professor and Chair of the Department of Anatomy at the University of California, San Francisco, and member of the National Academy of Medicine, will describe the current understanding of the neurobiology of pain and discuss opportunities to translate knowledge about basic research into treatments for various types of pain, as the country continues to confront real life challenges.
 The plenary lecture will be followed by a panel of University of Michigan faculty who will address various facets of the opioid epidemic across a wide range of disciplines; including:

Epidemiological aspects of opioid use and abuse
Clinical aspects of acute and chronic pain treatment
Neurobiological and behavioral mechanisms that predispose to substance use and addiction, and
Molecular and pharmacological aspects of opioid actions

A closing reception for all guests will follow the symposium. 
About the Rosenthal Symposium: Through the generosity of the Richard & Hinda Rosenthal Foundation, the National Academy of Medicine hosts an annual symposium to bring greater attention to critical health policy issues facing our country today. Learn more: NAM.edu/Rosenthal. 
",Free
b'Tech Homecoming 2017',2017-11-22T16:00:00,2017-11-22T19:00:00,"Back in Michigan for the holidays? Looking for a career in technology?
Join us for a happy hour on Wednesday, November 22nd (Thanksgiving Eve!) to experience the best Ann Arbor tech has to offer! Our goal is to reconnect talented out-of-towners in the tech industry with Ann Arbor and its vibrant tech ecosystem, which has produced hundreds of startups and billions in enterprise value in the last 5 years.
A handful of Ann Arbor's biggest and fastest-growing tech companies in Ann Arbor have organized a warm welcome for you at our private event at Fred's. Come mingle over drinks and appetizers before you head out to enjoy the biggest bar night in America!

Participating Companies:































A special thank you to our wonderful Sponsors:





",Free
b'a2-dlearn 2017',2017-11-18T10:00:00,2017-11-18T19:00:00,"a2-dlearn: Ann Arbor's Deep Learning Event
We are pleased to present our third annual a2-dlearn -- a collaboration between the Ann Arbor - Natural Language Processing and Machine Learning - Data, Science and Industry meetups and the Michigan Institute for Data Science.
The event is free, but tickets are required. Last year the event was full, so please sign up early, and make sure to cancel if you realize later that you cannot attend.",Free
b'FinTech Risks & Opportunities: An Interdisciplinary Approach',2017-11-16T08:00:00,2017-11-17T17:00:00,"Third Annual Financial Stability ConferenceHosted by the Office of Financial Research and the Center on Finance, Law, and Policy at University of MichiganThursday-Friday, November 16-17, 2017 @ University of Michigan Law School, Hutchins Hall 100
Keynotes by Federal Reserve Governor Lael Brainard and Financial Times' US Managing Editor Gillian Tett
Financial technology, or FinTech, can be traced back to the introduction of the telegraph in the 1860s. As internet technology became available, FinTech has evolved rapidly. Financial firms digitized their processes, and companies began introducing consumer-facing products such as online banking and payments. Today, FinTech continues to disrupt and evolve, not only in how financial products and services are delivered, but who delivers them. Regulators and market participants face challenges in understanding and balancing the benefits of FinTech against potential risks. Innovation helps catalyze growth and new opportunities while generating new risks. Regulatory structures in place could fail to accommodate changes in the financial marketplace. Regulators may overreact to new technologies, stifling innovation and locking in old forms of doing business. At the same time, regulatory complacency can have disastrous results, permitting the buildup of systemic risk or widespread consumer harms.
This conference will explore how the private sector, researchers, and policymakers can harness the upside potential of financial innovation while reducing the downside risks.
To download the agenda, click here.
For travel and parking information, click here. ",Free
b'Ann Arbor TechCity Jam',2017-12-15T19:00:00,2017-12-15T22:00:00,"Southeastern Michigan innovation community party, featuring open mic live music performances from many members of the region's tech and life sciences sector.
The TechCity Players (open mic house band):
Jason Magee, Ben Lorenz, Erik Santos
Featured Open Mic Performers:


Alan Harris


Bill Mayer


Chief Blues Officers (Mark Brode, Michael Cole, Dallas Dort, Dave Hartmann)


David Bloom


Hal Davis


Jeff Stanton


Jeffrey McKelvey


Jim Price


John Younger


Marisa Smith


Mark Forchette




Michael Godwin


Phillip Coleman


Terry Weadock


Wayne Brannon

",Free
b'16th Annual Pathology Research Symposium',2017-11-10T09:00:00,2017-11-10T17:00:00,"Join Us Nov. 10, 2017
This Molecular and Cellular Pathology graduate student event showcases research within the department by faculty, postdoctoral fellows, and Ph.D. students. 
 

 
Program Schedule
Morning 9 AM — Student and faculty talks10:50 AM — Break11 AM — Keynote SpeakerNoon — Lunch/Poster session
Afternoon1:30 — Student and faculty talks4:00 PM — Break4:15 PM — Career Panel4:45 PM — Awards
 

 
Keynote Speaker
Dan Rhodes, PhD
CEO, Strata Oncology Adjunct Assistant Professor, Department of Pathology, University of Michigan
Dan Rhodes is a scientist and entrepreneur focused on precision medicine in oncology.
He is currently co-founder and CEO of Strata Oncology, a venture-backed company leveraging its state-of-the-art cancer genome sequencing laboratory to accelerate precision medicine clinical trials. From 2012-2015, Dan was Vice President of Oncology for Thermo Fisher Scientific (Life Technologies) where he oversaw the development of cancer sequencing products and pharma companion diagnostic partnerships. From 2006-2012, Dan was co-founder and CEO of Compendia Bioscience, a University of Michigan spinoff formed to further develop and commercialize his thesis project, Oncomine™, a cancer genome data-mining platform. Over six years, Compendia grew to 20+ pharma customers, 10,000+ users and nearly $10M in annual revenue, culminating in the acquisition by Life Technologies in 2012. Dan has co-authored 40+ publications and is a co-inventor on 10 patents, including the discovery of gene fusions as a genetic cause of prostate cancer. He received the Weintraub Award, the AACR Team Science Award and was recognized by Crain’s Detroit as a Mergers and Acquisitions Deal of the Year Finalist. Dan serves on the oversight committee for the Michigan Translational Research and Commercialization (MTRAC) Program and on the Advisory Boards for eLab Ventures and the Monroe-Brown Biomedical Seed Fund. Dan received both a Bachelor of Science in Molecular Biology and a Doctorate in Bioinformatics from The University of Michigan.
 

 
Poster Abstract Submissions
If you are presenting a Poster, please download this template, fill out the information, and send your abstract to Laura Labut.
Download Template
 

For more, Contact Laura Labut.

",Free
b'ELSI-LHS 2017 Symposium & Workshop',2017-11-15T08:00:00,2017-11-15T16:00:00,"Join us for our 2nd annual symposium and workshop on the ethical, legal and social implications of learning health systems (ELSI-LHS).
This year's focus will be on data and knowledge sharing.
NOV 15 - 8:00 am - 4:00 pm: The symposium will lay out the ELSI of data sharing and translation in learning health systems that strive to be both FAIR (findable, accessible, interoperable, and reusable) and fair.  The day will interactively address critical issues on data and knowledge sharing.  
Speakers include John Wilbanks, Elizabeth Pike, Kenneth Goodman, Debra Mathews, Peter Embi, Peter Singleton, Warren Kibbe, Joon-Ho Yu and more to come!
Proceeds will be synthesized into draft recommendations for data and translation to practice & streamline future ELSI-LHS research.
We have issued a Call for Poster Abstracts to be included in the 2nd annual symposium.  Poster displays should relate to the conference theme, ""Data and Knowledge Sharing,"" and may relate to either ELSI or technical aspects of learning health systems.  Abstracts and posters should be developed for an interdisciplinary audience including social scientists, informaticians, health care providers, and community members.  
To submit an abstract, please go to:  2017 ELSI Abstract Submission
#elsilhs",Free
"b""Inside China:  Understanding China's Current and Future Automotive Industry""",2017-11-08T09:00:00,2017-11-08T14:30:00,"
University of Michigan
Transportation Research Institute
Automotive Futures Group
INSIDE CHINA:  UNDERSTANDING CHINA'S CURRENT AND FUTURE AUTOMOTIVE INDUSTRY 
Our 10th annual Inside China Automotive Conference features insights by manufacturers, suppliers, consultants, and UM experts on the current and future prospects for the automotive industry in China. The Chinese market continues to be the largest automotive market in the world despite a recent slowdown. The government is challenged to manage the environmental impact of vehicle production and operation, trying to balance the explosive growth of its economy with the need to create a sustainable environment. Its focus on electric vehicles in the auto industry is one approach it is taking to support sustainability. Autonomous vehicles are also beginning to play a role in future development.
This year our speakers will discuss many of the most important issues related to the industry including current vehicle sales environment, the global ambitions of their domestic manufacturers and suppliers, the electric vehicle strategies of Chinese manufacturers, the new government policies that are supporting electric vehicles and autonomous vehicles, and the environmental impact of a large scale deployment. They will also discuss the impact of new connected vehicle technology and the industry and government support needed to take advantage of this new technology. As with past conferences, we will focus on future industry trends in market structure and the roles of both the domestic and foreign manufacturers and suppliers in the industry.
Some of the key questions we will address include: What are the current consumer trends in vehicle purchasing, and what are some of the potential future buying patterns? What are the new electric and connected and autonomous vehicle strategies put forth by the government? How do they differ from previous regulations and why might they be more or less successful? What companies are leading China’s domestic electric vehicle industry? What are some of the environmental impacts that researchers see being affected by the growth of the electric vehicle industry? How are or will the foreign manufacturers respond to the new regulations? How are foreign and domestic joint venture partners preparing for a day when JVs will not be required?
Confirmed Speakers include:
Bruce Belzowski, Managing Director, Automotive Futures, UM Transportation Research Institute, will moderate the conference.
Michael Andrews, HMI Team Lead, Intelligent and Connected Vehicle Group, Changan US R&D Center, will discuss some of his company’s market, product development, and R&D plans for China, the US, and the rest of the globe.
Jun Ma, Vice Dean for the Automotive College at Tongji University, China will present his research on how China is experimenting with autonomous vehicles within the context of planned cities that will be able to take advantage of these vehicles.
Other manufacturers, suppliers, government representatives, and consultants have been invited
Conference Registration
New Conference Option: Our new system allows our foreign and local participants unable to attend the conference but who are interested in viewing the presentations to pay the registration fee for the conference, and they will receive an email when the presentations are online for viewing.
Cost:
UMTRI-Automotive Futures Affiliates and UM Students, Faculty, and Staff have two FREE options:
Option 1: UMTRI-Automotive Futures Affiliates and UM Students, Faculty, and Staff who will NOT ATTEND, but would like to receive a link to the presentations:  Free
Option 2: UMTRI-Automotive Futures Affiliates and UM Students, Faculty, and Staff who will ATTEND the conference:  Free
For all others: $200
Conference Sponsorship
Companies or groups interested in sponsoring this conference, please contact Bruce Belzowski at bbl@umich.edu or 734-936-2704. Sponsorship Amount (Minimum $2,500)
The Inside China Conference Sponsors
Argonne National Labs
BorgWarner Inc.
Bosch Corporation
Delphi Corporation
Denso Corporation
FCA Corporation
Ford Motor Company
GlobalAutoIndustry.com
Valeo North America, Inc.
University of Michigan Transportation Research Institute

Upcoming Events 
• February 14, 2018: Marketing New Powertrain Technologies. Now that manufacturers are moving more quickly to expand alternative powertrains in their fleets, how will their market strategies change?
• April 18, 2018: New Mobility Conference. Our 4th annual New Mobility conference will investigate the infrastructure models mobility as a service have generated throughout the world.
• July 18, 2018: Powertrain Strategies for the 21st Century: Our 10th annual conference that focuses on major issues related to the future powertrains. This conference is also the place to see the results of our annual Powertrain Strategies for the 21st Century expert survey that estimates powertrain technology penetration for 2020 and 2025.
 ",Paid
